ID,Phase,Severity,Kind,Title,Amount_COP,Owner,Proposed_JE,Status,Ending,Disposition,Period
EX-J07-01,4 AR,HIGH,K1,American Traveling Plus July invoices — all closed (FE8406/8413/8423/8569),0,Kevin,,Closed,5,26-Aug open-AR claim stale vs dump 2026-09-01. Off queue.,2026-07
EX-J07-02,4 AR,MED,K1,Dario Vives: FE8468 still open 250000 (FE8373/8408/8435 closed),250000,Kevin,,Open,1,Collect or match payment. Not the original 850000 four-invoice block.,2026-07
EX-J07-03,4 AR,MED,K1,Cash-form residuals — superseded by EX-J07-18 agency AR,0,Kevin,,Closed,5,"July open AR is Caminante/Tourenvias/Dario/Nidia, not POS cobro leak.",2026-07
EX-J07-04,4 AR,LOW,K1,"FE8480 Teyuna — closed (paid 203940 of 412000, balance 0)",0,ContabIA,,Closed,5,Off queue.,2026-07
EX-J07-05,5 Expenses,MED,K1,Bold settlement bill FEC8056756 still open — processor fees not clearing,163985,ContabIA,AJ-J07-05,Open,2,Same fee-netting pattern as January AJ-06. Book fee vs clearing. Still unpaid in dump.,2026-07
EX-J07-06,5 Expenses,MED,K2,Marina Jul bills all closed (balance 0). Retention-rate mix is standing config not AP,0,Kevin,,Closed,5,"12.5M open-AP claim stale. Rate rule stays onboarding, not this ID.",2026-07
EX-J07-07,5 Expenses,LOW,K1,Olimpica COMK5038 449901 still open — coded 159505 Equipos de recreación (not groceries). Ask Nick.,449901,Nick,,Open,1,Not Kevin. Zero on Jul Bancolombia. Do not expense again.,2026-07
EX-J07-08,Cost Centers,MED,K2,Most July bills carry no vessel cost center,0,Kevin,,Open,4,Standing config. Not a July close blocker.,2026-07
EX-J07-09,9 Payroll,MED,K1,July payroll IS booked (Nick CC-AC-453 + crew 466-469). PILA on disk,0,ContabIA,,Closed,5,July lane closed. Aug Nick+Ana missing accruals = EX-A08-01/02.,2026-07
EX-J07-10,Recurring JEs,HIGH,K1,Collapsed into EX-J07-17 (OJ-5). R-14 retired — 5305 already inside payment asientos,0,ContabIA,,Closed,5,Do NOT post R-11 standalone or R-14.,2026-07
EX-J07-11,Bank,HIGH,K1,July bank statements ingested — Bancolombia #001780; BBVA no movements; Bold/PayPal/TC 0992 filed,0,Kevin/Johan,,Closed,5,Unchanged.,2026-07
EX-J07-12,4 AR,HIGH,K1,Bold 5.6M already in 280505 at cash (RC-11507 4250000 + RC-11560 1350000); applied Aug,5600000,ContabIA,AJ-J07-01,Closed,5,AJ-J07-01 would double. Ámbar FE8638/8652 and Mendoza FE8672 rendered in August.,2026-07
EX-J07-13,12 Assets,HIGH,K2,Zero-book claim FALSE. Aug TB: 154495 Sonata 78365454 + 154496 Anna Leeza 60000000 + 154497 velero nuevo 35237720. Residual = fleet dep EX-12.2,0,ContabIA,,Closed,5,Libro 2026 only shows 2026 adds (18.4M). Opening PPE is on the TB. Collapse the zero-book exception.,2026-07
EX-J07-14,3 Revenue,HIGH,K3,FH-Alegra 82% gap RETRACTED,0,ContabIA,,Closed,5,280 Jul invoices / 160.5M. Alegra date_start filtered createdAt.,2026-07
EX-J07-15,3 Revenue,HIGH,K1,GYG/Viator July cash ties to OTA files (GYG net 7539000 = RC-11118; Viator USD 1430 = RC-11239 4624048). Jul invoices closed.,0,ContabIA,,Closed,5,GYG xlsx is June activity paid in July. Art. 437-2 stays EX-10.2 lock. Aug month-end AR is EX-A08-03.,2026-07
EX-J07-16,9 Payroll,HIGH,K1,Nick June 5105 package missing (9805834). July posted CC-AC-453. Catch-up in open period,9805834,ContabIA,OJ-4,Open,2,Clone CC-AC-453. Date 2026-08-31. Cash already via 250505 June CEs. Do not restate June.,2026-07
EX-J07-17,12 Assets,HIGH,K1,Office PPE dep skipped Jun+Jul (2 x 1038987). Aug CC-AC-495 posted,2077974,ContabIA,OJ-5,Open,2,Date 2026-08-31. Do not add August month. Do not add Anna Leeza.,2026-07
EX-J07-18,4 AR,MED,K1,July open AR: Caminante 1860000 (pasadia/sunset operator) + Tourenvias 952000 + Dario 250000 + Nidia 30000,3092000,Nick,,Open,1,Nick applies lumps. Not Kevin.,2026-07
EX-A08-01,9 Payroll,HIGH,K1,Nick August 5105 accrual missing (cash CE-8855 4180000 only). Edwin posts these.,9805834,Edwin,,Open,4,Park. Not OJ-4. Do not clone without Edwin.,2026-08
EX-A08-02,9 Payroll,HIGH,K1,Ana August 5105 missing (cash CE-8851 1769578 only). Edwin posts these.,4775666,Edwin,,Open,4,Park. Do not clone July 900k bonus blindly.,2026-08
EX-A08-03,4 AR,HIGH,K1,Month-end OTA AR: GYG FE8762 18984000 + Viator FE8761 7105000 still open (normal settlement timing),26089000,Kevin/Nick,,Open,4,Same family as EX-J07-15. Not a missing invoice.,2026-08
EX-A08-04,5 Expenses,LOW,K1,Olimpica 17VS39696 open 27153 — ask Nick (same as COMK5038),27153,Nick,,Open,1,Not Kevin.,2026-08
EX-A08-05,12 Assets,MED,K1,August office dep posted. Fleet gap lives on EX-J07-13,0,ContabIA,,Closed,5,Collapse.,2026-08
EX-A08-06,Tax,HIGH,K1,August Form 350 due 2026-09-22 (DIAN calendar digit 0; July analog filed 26-Aug),0,Kevin,,Open,1,Do not amend Jan-Jul. Contador files. 10 days from 12-Sep.,2026-08
