ID,Phase,Severity,Title,Amount_COP,Owner,Proposed_JE,Status,Disposition,Period
EX-J07-01,4 AR,HIGH,"American Traveling Plus: 3 facturas vencidas (FE8406 due 07-13, FE8413/FE8423 due 07-17) - 30.6% of open AR",3224000,Kevin,,Open,"Collection push this week; largest single-client overdue block in July",2026-07
EX-J07-02,4 AR,MED,"Dario Vives Rincon: 4 open de-contado invoices accumulating since 07-02 (FE8373/8408/8435/8468)",850000,Kevin,,Open,"Confirm real terms vs cobro process; either convert to credit terms or collect",2026-07
EX-J07-03,4 AR,MED,"Cash-form invoices left open with residual balances (FE8505/8506/8511/8421/8473) - POS cobro leak",774000,Kevin,,Open,"Cash sales should not sit open; reconcile residuals against caja/Bold settlements",2026-07
EX-J07-04,4 AR,LOW,"FE8480 (Teyuna Tours) half-applied without payment record: balance 206.000 of 412.000 with totalPaid 0",206000,ContabIA,,Open,"Verify anticipo/nota-credito application in ledger - data-integrity check",2026-07
EX-J07-05,5 Expenses,MED,"Bold settlement bill FEC8056756 open since 07-01 - processor fees not clearing",163985,ContabIA,,Open,"Same fee-netting pattern as January AJ-06 (PayPal); book fee expense vs clearing account",2026-07
EX-J07-06,5 Expenses,MED,"Marina bills (Inversiones Marina Turistica): balance < total on several unpaid bills - mixed effective retention 3.36% vs 2.94%",12554801,Edwin/Kevin,,Open,"Verify retention-vs-credit-note treatment and standardize concepts/rates; COP 12.5M open with this provider. ACCOUNTING DECISION — needs Edwin.",2026-07
EX-J07-07,5 Expenses,LOW,"Olimpica COMK5038 overdue since 07-10",449901,Kevin,,Open,"Pay or verify already paid via bank and left unmatched. DATA GAP / Kevin action.",2026-07
EX-J07-08,Cost Centers,MED,"Most July bills carry no vessel cost center (Sonata Mas / Anna Leeza / Dragon Lady CCs exist but are rarely applied)",,Kevin,,Open,"Candidate company rule: default CC by provider/item; prerequisite for per-vessel P&L",2026-07
EX-J07-09,9 Payroll,MED,"July payroll not verifiable via connector (Alegra payroll API rejecting list calls); e-payroll emission unconfirmed",,Edwin/Kevin,,Open,"Estimated from Jun register + PILA (5 cotizantes, 24.2M devengado). Confirm liquidation before close.",2026-07
EX-J07-10,Recurring JEs,HIGH,"July recurring routines ready to post (Edwin has not posted Jul dep/interest)",15166176,ContabIA,R-11/R-14/AJ-J07-01,Open,"R-11 1,038,987 + catch-up 9,577,974; R-14 3,549,289; AJ-J07-01 5,600,000; AJ-J06-reverse 3,641,000. Do NOT double-post Edwin retefuente 5,555K / seg social 2,165K.",2026-07
EX-J07-11,Bank,HIGH,"July bank statements ingested — Bancolombia #001780 reconciled close 35.5M; BBVA no movements; Bold/PayPal/TC 0992 filed",,Kevin/Johan,,Closed,"All operating statements in hand. BBVA CtaCte+FondoDigital combined PDF: NO EXISTEN MOVIMIENTOS. CreditoComercio is a loan product, out of bank-rec scope.",2026-07
EX-J07-12,4 AR,HIGH,"Bold link-pago customer prepayments for post-July voyages must be booked as liability, not July revenue - 2 items (07-23 Sonata/DragonLady advance 4.250.000; 07-30 charter advance 1.350.000)",5600000,ContabIA,AJ-J07-01,Open,"Defer COP 5,600,000 to 2805; reverse into service revenue when each voyage renders (Aug/Sep 2026). Datáfono POS 3,541,500 stays in July revenue.",2026-07
EX-J07-13,12 Assets,HIGH,"Anna Leeza vessel — zero book value in Alegra (acquired Dec 2023, COP 60M). Not in FA register; no depreciation ever posted.",60000000,ContabIA,R-11-AL,Open,"Add to FA register at COP 60M cost, 5% SL = 250K/mo. Catch-up 30 months (Jan 2024–Jun 2026) = 7,500,000. ACCOUNTING DECISION on cost basis already taken (Kevin).",2026-07
EX-J07-14,3 Revenue,HIGH,"FH-Alegra 82% gap RETRACTED. Alegra date_start filtered createdAt not document date. Live pull: 280 July-dated invoices COP 160.5M vs FH sailed $42,629 = 133.5M. Alegra is 20% ABOVE FH because tour-operator invoices sit on top of FH channels.",0,ContabIA,,Closed,"Not a sync failure. Consumidor final 67 invoices / 40.2M is the shared-tour cash channel (normal). Named clients 101.4M. GYG 13.5M + Viator 5.4M. Cortesia 47 invoices ~0. Disposition: accept as explained; remaining affiliate cash timing is EX-J07-15.",2026-07
EX-J07-15,3 Revenue,HIGH,"GYG/Viator settlement vs invoice vs FH receivable. FH affiliate receivable $13,951 = 43.7M. Alegra invoiced GYG FE8573 13.5M + Viator FE8572 5.4M = 18.8M. Bank StoneX one deposit 7.5M. BBVA July: zero movements.",24900000,Kevin/Nick,,Open,"DATA GAP: July OTA-GYG and OTA-Viator xlsx missing from vault (Jan-Jun present). 18.8M invoiced vs 43.7M FH receivable — rest is other-month billing or unbilled. 13.5M GYG invoice vs 7.5M StoneX cash = 6.0M still AR. Not a BBVA parking lot.",2026-07
