ID,Phase,Severity,Kind,Title,Title_ES,Amount_COP,Owner,Proposed_JE,Status,Ending,Disposition,Disposition_ES,Period
EX-4.1,4 AR,MED,K1,GYG FE7459 uncollected at 31-Jan (64.9% of AR),"GYG FE7459 sin cobrar al 31-ene (64,9% de CxC)",39655000,ContabIA/Kevin,,Closed,5,Lock: closed / no gap.,Lock: cerrada / sin brecha.,2026-06
EX-4.6,4 AR,HIGH,K2,1305 polluted by non-customers (SONATA own tercero + Cuantias Menores),1305 contaminada por terceros no clientes (tercero propio SONATA + Cuantías Menores),9251376,Edwin,Reclass out of 1305,Closed,2,"Lock: Dr 1305 / Cr 3705 9,251,376 in open period (OJ-1). Off June queue.",Lock: Dr 1305 / Cr 3705 9.251.376 en periodo abierto (OJ-1). Fuera de la cola de junio.,2026-06
EX-4.7,4 AR,MED,K1,1305 debit balances no open invoice (CANAT/RUTA CARIBE/AVIATUR/VIATOR/CORRALES),Saldos débito 1305 sin factura abierta (CANAT/RUTA CARIBE/AVIATUR/VIATOR/CORRALES),,Edwin,,Closed,5,Lock: four terceros cleared. Viator → OTA. AC-481 is August.,Lock: cuatro terceros depurados. Viator → OTA. AC-481 es agosto.,2026-06
EX-5.1,5 Expenses,HIGH,K2,Omitted retefuente on documentos soporte >10 UVT (35/36),Retefuente omitida en documentos soporte >10 UVT (35/36),1174647,Edwin,AJ-01,Closed,4,Lock: ~6.8M unrecognized retefuente. Disclose-forward. Do not amend filed 350s.,"Lock: ~6,8M de retefuente no reconocida. Revelar hacia adelante. No modificar los 350 ya radicados.",2026-06
EX-5.2,5 Expenses,HIGH,K1,Omitted retefuente on purchase invoices >threshold (~12),Retefuente omitida en facturas de compra >umbral (~12),700000,Edwin,AJ-02,Closed,5,Lock: collapse → EX-5.1 family.,Lock: colapsa → familia EX-5.1.,2026-06
EX-5.3,5 Expenses,HIGH,K1,Missing documento soporte foreign vendors (Fisheries/LKQ/Starlink/Google Ads),Falta documento soporte de proveedores extranjeros (Fisheries/LKQ/Starlink/Google Ads),,Edwin,AJ-04,Closed,5,Lock: July-forward (Starlink DS). Off June queue.,Lock: julio en adelante (DS Starlink). Fuera de la cola de junio.,2026-06
EX-5.5,5 Expenses,MED,K1,Input IVA expensed 511570 (recoverable only if taxable/exento),IVA descontable gastado en 511570 (recuperable solo si gravado/exento),6568768,Edwin,,Closed,5,RA-6 accepted.,RA-6 aceptado.,2026-06
EX-5.6,5 Expenses,MED,K1,Veronica interest 400k no accrual/contract,Intereses Verónica 400k sin causación ni contrato,400000,Edwin,AJ-03,Closed,5,Round-3: no WH. AJ-03 moot.,Ronda 3: sin retención. AJ-03 sin efecto.,2026-06
EX-6.1,6 Bank,HIGH,K1,Bancolombia unreconciled net gap,Brecha neta sin conciliar en Bancolombia,1616492,ContabIA,,Closed,5,Lock: silent AC-397; Jan Bancolombia ties.,Lock: AC-397 silencioso; enero Bancolombia cuadra.,2026-06
EX-6.2,6 Bank,MED,K2,BBVA opening balance differs from statement (closing ties exactly),Saldo inicial BBVA difiere del extracto (el cierre cuadra exacto),1210212,Edwin,,Closed,4,"Lock: BBVA opening plug 1,210,212 in open period (OJ-2). Off June queue.",Lock: plug de saldo inicial BBVA 1.210.212 en periodo abierto (OJ-2). Fuera de la cola de junio.,2026-06
EX-6.3,6 Bank,HIGH,K1,PayPal gross receipts no payouts/fees/FX,"Recaudos brutos de PayPal sin desembolsos, comisiones ni diferencia en cambio",6811343,ContabIA,AJ-06,Closed,5,RESOLVED PayPal.,RESUELTA PayPal.,2026-06
EX-6.4,6 Bank,MED,K1,Bold balance/fees/settlements unconfirmed,"Saldo, comisiones y liquidaciones Bold sin confirmar",493592,ContabIA,,Closed,5,Lock: July-forward Bold. Off June queue.,Lock: Bold julio en adelante. Fuera de la cola de junio.,2026-06
EX-6.5,6 Bank,HIGH,K1,TC empresarial (COP+USD) liability unconfirmed,Pasivo de tarjeta empresarial (COP+USD) sin confirmar,25325322,ContabIA,,Closed,5,Lock: statements on disk. Tie-out is July work.,Lock: extractos en disco. La cuadratura es trabajo de julio.,2026-06
EX-6.6,6 Bank,LOW,K1,Efectivo POS Cortesia micro-amounts,Micro-montos de Efectivo POS Cortesía,0,ContabIA,,Closed,5,Lock: zero cash.,Lock: caja cero.,2026-06
EX-8.1,8 FX,MED,K3,No FX account in chart; no closing-revaluation routine,Sin cuenta de diferencia en cambio en el catálogo; sin rutina de revaluación de cierre,,Edwin,R-12,Closed,5,Lock: July-forward FX accounts. Off June queue.,Lock: cuentas FX julio en adelante. Fuera de la cola de junio.,2026-06
EX-8.2,8 FX,HIGH,K1,PayPal USD asset not revalued at 31-Jan TRM,Activo en USD de PayPal sin revaluar a la TRM del 31-ene,6811343,ContabIA,R-12,Closed,5,RESOLVED per EX-6.3.,RESUELTA según EX-6.3.,2026-06
EX-8.3,8 FX,MED,K1,USD card foreign charges unbooked (Fisheries/LKQ),Cargos en el exterior con tarjeta USD no contabilizados (Fisheries/LKQ),,ContabIA,,Closed,5,Lock: closed / no gap.,Lock: cerrada / sin brecha.,2026-06
EX-8.4,8 FX,LOW,K1,FareHarbor contra-entry misposted to Efectivo POS instead of Bancolombia,Contra-asiento de FareHarbor mal registrado en Efectivo POS en vez de Bancolombia,838025,ContabIA,,Closed,5,Lock: July-forward FH reclass. Off June queue.,Lock: reclasificación FH julio en adelante. Fuera de la cola de junio.,2026-06
EX-9.1,9 Payroll,HIGH,K2,January payroll register/PILA not supplied,Registro de nómina / PILA de enero no suministrado,,Kevin,,Closed,4,Lock: Jan PILA on disk; comprobante residual. Does not block.,Lock: PILA de enero en disco; residual de comprobante. No bloquea.,2026-06
EX-9.2,9 Payroll,HIGH,K1,Nick(Nicolas) cash vs accrual gap,Brecha de caja vs. causación de Nick (Nicolás),11203595,Kevin/Edwin,AJ-N1/N2,Closed,5,Lock: Edwin book-net. Residual in 250505.,Lock: neteo en libros por Edwin. Residual en 250505.,2026-06
EX-9.4,9 Payroll,MED,K2,Bonuses uncertain salary character (full-constitutive contingency),Bonificaciones con carácter salarial incierto (contingencia de constitutividad plena),11375147,Edwin,AJ-05b/c,Closed,4,Lock: standing bonus contingency. Disclose. No AJ-05.,Lock: contingencia permanente de bonos. Revelar. Sin AJ-05.,2026-06
EX-9.5,9 Payroll,LOW,K2,Social-security contributions accrued by entity not reconcilable per employee,"Aportes a seguridad social causados por la entidad, no conciliables por empleado",,ContabIA,,Closed,4,Lock: social-security machinery booked. Does not block.,Lock: maquinaria de seguridad social contabilizada. No bloquea.,2026-06
EX-9.6,9 Payroll,MED,K2,Ley 1393/2010 40% IBC rule - mandatory add-back computed per head,Regla 40% IBC Ley 1393/2010 — adición obligatoria calculada por cabeza,1859050,Edwin,AJ-N3,Closed,4,Lock: 40% IBC standing contingency. Disclose. No AJ-N3.,Lock: contingencia permanente 40% IBC. Revelar. Sin AJ-N3.,2026-06
EX-10.1,10 Tax,HIGH,K1,Retefuente under-withheld (only 201680 booked),Retefuente sub-retenida (solo 201.680 contabilizado),1900000,Edwin,AJ-01/02,Closed,5,Lock: collapse → EX-5.1 family.,Lock: colapsa → familia EX-5.1.,2026-06
EX-10.2,10 Tax,HIGH,K2,Foreign-OTA assumed IVA not booked (Art.437-2),IVA asumido de OTA extranjera no contabilizado (Art. 437-2),3000000,Edwin,AJ-08,Closed,3,"Lock 2026-09-12: reject+why, accepted Art. 437-2 residual. No AJ-08.","Lock 2026-09-12: rechazar+motivo, residual Art. 437-2 aceptado. Sin AJ-08.",2026-06
EX-10.3,10 Tax,HIGH,K1,Input IVA expensed recoverable only prospectively,"IVA descontable gastado, recuperable solo de forma prospectiva",6568768,Edwin,,Closed,5,RA-1/RA-6 accepted.,RA-1/RA-6 aceptado.,2026-06
EX-10.4,10 Tax,MED,K1,INC 8% real value to verify (CSV format error H-07),INC 8% valor real por verificar (error de formato CSV H-07),133186,Edwin,,Closed,5,Owner decision 2.2.,Decisión del dueño 2.2.,2026-06
EX-10.5,10 Tax,MED,K1,Regimen Comun vs RST unconfirmed in RUT,Régimen Común vs. RST sin confirmar en el RUT,,Edwin,,Closed,5,RUT regimen ordinario.,RUT régimen ordinario.,2026-06
EX-10.6,10 Tax,MED,K2,Autorretencion de renta status unconfirmed,Estado de autorretención de renta sin confirmar,24641000,Edwin,,Closed,2,"Lock: Form 110 claimed 24,641,000. Application JE in open period (OJ-3). Off June queue.",Lock: el Formulario 110 solicitó 24.641.000. JE de aplicación en periodo abierto (OJ-3). Fuera de la cola de junio.,2026-06
EX-11.1,11 Provisions,HIGH,K1,Bonus-constitutive contingency (prestaciones+aportes) - full scenario,Contingencia de bonos constitutivos (prestaciones + aportes) — escenario completo,4300000,Edwin,AJ-05b/c,Closed,5,Lock: collapse → EX-9.4 / 9.6.,Lock: colapsa → EX-9.4 / 9.6.,2026-06
EX-11.2,11 Provisions,HIGH,K1,Nick gap no labor provision,Brecha de Nick sin provisión laboral,11203595,Kevin/Edwin,,Closed,5,Lock: collapse → EX-9.2 / 12.4.,Lock: colapsa → EX-9.2 / 12.4.,2026-06
EX-11.3,11 Provisions,HIGH,K1,Unrecognized tax liabilities (retefuente + OTA IVA),Pasivos tributarios no reconocidos (retefuente + IVA de OTA),4900000,Edwin,AJ-01/02/08,Closed,5,Lock: collapse → EX-5.1 family.,Lock: colapsa → familia EX-5.1.,2026-06
